"","VIC_EDAD","VIC_ESCOLARIDAD","QUIEN_REPORTA","AGR_EDAD","AGR_ESCOLARIDAD","OTRAS_VICTIMAS","VIC_OTRAS_MUJ","HEC_ANO","ANO_EMISION","NUM_MES_EMISION","cluster_k"
"1",21,3,1,25,6,3,0,2008,2008,1,2
"3",43,7,1,41,7,3,0,2008,2008,1,3
"4",35,11,1,35,7,4,0,2008,2008,1,3
"6",44,2,1,46,8,3,0,2007,2008,1,1
"7",28,7,1,35,7,4,0,2008,2008,1,3
"8",76,0,1,74,7,1,0,2008,2008,1,1
"9",49,0,1,49,7,1,0,2008,2008,1,1
"11",37,7,1,24,7,7,0,2007,2008,1,2
"12",41,11,1,44,7,4,0,2008,2008,1,3
"13",59,0,4,61,0,3,0,2008,2008,1,1
"14",33,0,1,35,7,4,0,2007,2008,1,3
"15",40,7,1,43,7,7,0,2008,2008,1,3
"16",35,7,1,36,11,6,0,2008,2008,1,3
"17",42,7,1,43,11,4,0,2008,2008,1,3
"19",34,0,1,32,7,4,0,2008,2008,1,3
"29",32,6,1,40,10,4,2,2008,2008,1,3
"30",42,4,1,49,6,3,0,2008,2008,1,1
"31",39,5,1,43,2,4,0,2008,2008,1,3
"32",32,4,1,35,3,6,0,2008,2008,1,3
"33",41,0,1,44,6,6,3,2007,2008,1,3
"34",35,6,1,37,6,3,0,2008,2008,1,3
"35",37,0,1,45,6,5,0,2008,2008,1,3
"36",26,6,1,28,6,4,0,2008,2008,1,2
"42",44,7,1,25,11,2,0,2007,2008,1,3
"45",31,23,1,34,23,2,0,2007,2008,1,3
"46",29,15,1,32,15,4,0,2008,2008,1,2
"48",26,11,1,29,15,2,0,2008,2008,1,2
"52",22,7,1,23,11,1,0,2008,2008,1,2
"53",54,0,1,55,7,1,0,2008,2008,1,1
"56",31,23,1,29,23,1,0,2008,2008,1,2
"57",38,11,1,44,23,1,0,2007,2008,1,3
"58",19,7,1,25,7,2,0,2008,2008,1,2
"60",21,7,1,21,11,1,0,2008,2008,1,2
"66",28,15,1,73,15,2,0,2008,2008,1,1
"67",57,0,1,27,7,4,2,2008,2008,1,1
"71",57,3,1,35,7,2,1,2008,2008,1,1
"73",52,15,1,39,15,2,0,2008,2008,1,1
"74",34,11,1,36,23,4,0,2007,2008,1,3
"75",27,10,1,32,6,8,3,2008,2008,1,2
"76",23,7,1,28,11,2,0,2008,2008,1,2
"77",32,1,1,34,5,5,1,2008,2008,1,3
"79",16,7,1,19,11,2,0,2008,2008,1,2
"81",33,7,1,33,15,5,0,2007,2008,1,3
"83",39,1,1,19,1,5,0,2008,2008,1,2
"84",29,0,1,34,3,6,0,2008,2008,1,3
"85",35,11,1,28,13,3,0,2008,2008,1,3
"86",33,13,1,36,13,5,0,2008,2008,1,3
"87",31,4,1,42,0,7,0,2008,2008,1,3
"88",32,9,1,35,6,3,0,2008,2008,1,3
"89",37,1,1,41,5,5,0,2008,2008,1,3
"90",23,13,1,24,13,2,0,2008,2008,1,2
"93",36,6,1,40,3,3,0,2008,2008,1,3
"94",22,10,1,24,10,3,1,2008,2008,1,2
"95",26,8,1,31,8,3,0,2008,2008,1,2
"97",32,10,1,36,2,2,0,2008,2008,1,3
"98",45,0,1,38,2,8,1,2008,2008,1,1
"99",26,18,1,24,10,3,0,2008,2008,1,2
"100",59,1,1,63,1,3,0,2008,2008,1,1
"101",28,10,1,27,13,1,0,2007,2008,1,2
"102",41,6,1,45,6,1,0,2007,2008,1,3
"104",40,13,1,41,13,1,0,2007,2008,1,3
"105",52,10,1,59,6,1,0,2007,2008,1,1
"106",27,6,1,34,10,4,3,2008,2008,1,3
"107",37,2,1,40,6,2,0,2007,2008,1,3
"109",33,10,1,31,6,3,0,2008,2008,1,3
"111",43,9,1,45,7,7,2,2008,2008,1,1
"113",41,15,1,50,11,5,1,2008,2008,1,1
"115",43,15,1,37,9,4,0,2007,2008,1,3
"116",26,14,1,31,14,3,1,2007,2008,1,2
"118",30,7,1,28,6,5,0,2008,2008,1,2
"120",20,2,1,30,8,1,0,2008,2008,1,2
"126",29,14,1,31,14,1,0,2007,2008,1,2
"127",37,6,1,21,5,1,0,2008,2008,1,2
"128",39,0,1,36,14,1,0,2007,2008,1,3
"129",21,8,1,23,6,1,0,2007,2008,1,2
"130",44,6,1,50,13,1,0,2008,2008,1,1
"131",31,14,1,33,6,1,0,2008,2008,1,3
"132",87,6,1,63,14,1,0,2007,2008,1,1
"133",38,6,1,47,1,1,0,2008,2008,1,3
"134",26,12,1,25,6,1,0,2008,2008,1,2
"136",27,14,1,42,14,1,0,2007,2008,1,3
"137",36,2,1,41,6,1,0,2008,2008,1,3
"141",28,11,1,30,7,2,0,2008,2008,1,2
"142",38,11,1,40,11,3,0,2008,2008,1,3
"143",27,14,1,28,10,3,1,2008,2008,1,2
"144",30,4,1,41,0,4,1,2008,2008,1,3
"145",45,14,1,46,14,3,1,2008,2008,1,1
"146",25,13,1,25,9,3,0,2008,2008,1,2
"148",35,10,1,39,10,4,0,2008,2008,1,3
"149",23,13,1,21,10,2,0,2008,2008,1,2
"152",21,7,1,28,7,3,0,2008,2008,1,2
"157",23,3,1,22,3,2,1,2008,2008,1,2
"158",21,10,1,21,14,2,0,2008,2008,1,2
"160",15,6,1,28,6,2,1,2008,2008,1,2
"162",30,7,1,51,0,2,0,2008,2008,1,3
"163",31,14,1,37,13,4,1,2008,2008,1,3
"168",21,15,1,22,15,2,0,2007,2008,1,2
"169",25,15,1,31,11,4,1,2008,2008,1,2
"170",33,15,1,32,23,4,0,2008,2008,1,3
"172",36,7,1,60,7,1,0,2008,2008,1,1
"173",18,0,1,28,11,1,0,2008,2008,1,2
"175",42,15,1,46,23,1,0,2008,2008,1,3
"176",31,7,1,32,7,1,0,2008,2008,1,3
"177",27,14,1,23,11,1,0,2008,2008,1,2
"179",40,14,1,30,14,1,0,2008,2008,1,3
"185",45,7,1,49,23,1,0,2008,2008,1,1
"186",26,14,1,38,0,3,0,2008,2008,1,3
"187",31,6,1,40,6,3,1,2008,2008,1,3
"188",35,6,1,50,6,3,1,2008,2008,1,3
"190",32,15,1,34,15,3,0,2008,2008,1,3
